Column1,nickname,text,score,like,dislike,time,watch_movie
146,박씨가문(meba****),저 상황과 다른점 한가를 꼽자면 정부의 태도와 행동 저상황에서는 정부가 국민을 포기하지 않았지만 지금 이상황에서는 국민을 포기한듯 싶음,10,36,0,2015-06-03 19:58,0
147,녹차덩어리(qwer****),영화제목을 미르를 찾아서로 바꿔야할듯 그리고  cg보고 개오글거렸다,1,49,13,2013-08-18 10:26,0
148,이소희(sohe****),이 영화 다시 재개봉 해야한다 지금 우리나라 현실과 맞먹기 때문이다.,10,37,2,2015-06-03 20:32,0
149,고고싱(luck****),에이 솔직히 난 예전에 봤을때도 한국 정부에 대해서 너무 잘 표현했다고 생각했는데 그걸 못느끼고 이제서야 느낀사람들이 많은것같네 ㄷㄷ,10,37,2,2015-06-03 19:22,0
150,예으니(jye9****),이 영화 감독님 최소 예언가;;소름ㄷㄷ영화속엔 멋진 차인표대통령이 있었지만 현실엔...그저 웃지요ㅎㅎㅎㅎ,10,38,3,2015-06-04 1:19,0
151,리벨로크(9640****),보건복지부에서 이 영화를 싫어합니다,10,38,3,2015-06-03 21:49,0
152,로베리안(bell****),"CG도 정말... 우리나라에서 만든 거라고 창피할 정도고, 너무 뻔한 스토리에 정말 억지로 되도 않게 쥐어짜는 감성팔이는 역겨울 정도였다.. 스토리는 말할것도 없고 연출도 꽝인 영화.. 시작한지 10분도 안되서 후회...",1,73,38,2013-08-15 18:44,0
153,olle****,정말 재미 없습니다. 돈 아까워서 끝까지 봤습니다.,1,89,54,2013-08-15 15:19,0
154,MC몽나코밥줘님(news****),후속편 메르스도 기대합니다.,10,38,4,2015-06-01 20:07,0
155,lolcom(tktk****),진짜 볼만함 지금 메르스가 이리 되면 어쩔련지 ㄷㄷ.,10,38,4,2015-06-01 0:51,0
156,spq(popc****),이영화가 지금의 한국의 현실이구나를 느낀다... 제발 이영화와 같은 대재앙은 없기를 기원한다,10,38,4,2015-05-29 12:26,0
157,jabi****,매끄럽게 끌어갈수 있는 결말을감독이 자기사상 억지로 꾸겨넣어서 OOO기를 만들어놨다.전작권만 가진 미군이 전시가 아닌상황에서대통령발언말아먹고 민간인을 쏴죽이고.분당에서 미전투기와 수방사 대치.감독은 어느나라를 상상하...,1,47,13,2013-08-19 1:07,0
158,랩훠후이(rapp****),아니에요 이영화는 아니에요 연관성이라고는 눈꼽만큼도 없고 감정밖에 없는 영화에요,1,69,35,2013-08-15 19:34,0
159,다양(sp_b****),재미있게 보고나온 사람들까지 모두 알바로 몰아가는 분들 정말 웃기네요. 저도 7~8점 주고 싶은 영화지만 알바니 뭐니 해가면서 1점 주시는분들 때문에 10드립니다. 괜한 화풀이 영화에다 하지 마세요.,10,148,114,2013-08-14 14:53,0
160,강돌쇠(dols****),현실이 더 막장이야 아주...영화는 차인표가 대통령이라 그나마 낫지 현실은 박근혜다...말 다 했지. 무능의 대명사,10,37,4,2015-06-03 17:31,0
